A:char(25)	B:char(25)	C:int	D:int	E:char(25)
Iowa	New_Jersey	8	5	Camel
Nebraska	Ecuador	7	68	Swan
North_Carolina	Slovenia	2	83	Isogomphodon
Georgia	Ecuador	6	79	Isogomphodon
California	Ethiopia	5	35	Manatee
South_Dakota	Maryland	1	80	Prionace_glauca
Maine	Samoa	2	96	Goose
Ohio	DOMINICAN_REPUBLIC	0	67	Chamois
3	Turkey	8	58	Negaprion
Iowa	Ukraine	2	67	Gazelle
Connecticut	Jordan	7	8	Moose
Kansas	Croatia	9	85	Chiloscyllium
Mississippi	Malaysia	0	47	Cobra
West Virginia	EQUATORIAL_GUINEA	1	8	Rhinoceros
California	Japan	7	90	Anatidae
West Virginia	Malawi	4	33	Wren
South_Dakota	Morocco	0	49	American_Bison
Florida	Nauru	6	10	Gorilla
North_Carolina	North_Carolina	0	42	Swallow
New_Mexico	Turkey	1	36	Prionace_glauca
Maine	Pennsylvania	4	43	Whale_Shark
North_Carolina	MARSHALL_ISLANDS	7	97	Carcharhiniformes
North_Carolina	Malta	1	4	Dolphin
North_Dakota	Illinois	7	18	Pelican
Massachusetts	Washington	1	21	Sheep
Minnesota	Madagascar	8	51	Angel_shark
Pennsylvania	Sudan	4	81	Pristiophorus
Utah	Canada	0	55	Peafowl
Virginia	Canada	7	39	Sheep
Louisiana	COSTA_RICA	9	27	Flamingo
Nebraska	South_Carolina	1	82	Orectolobus
Iowa	Madagascar	2	83	Beaver
Kentucky	New_Mexico	4	24	Bison
Illinois	TRINIDAD_AND_TOBAGO	7	30	Hemiscyllium
Missouri	Zimbabwe	9	99	Mule
North_Dakota	Saudi_Arabia	4	50	Anatidae
Arkansas	TRINIDAD_AND_TOBAGO	9	86	Cirrhoscyllium
California	Nebraska	9	59	Mallard
Alaska	Kiribati	4	80	Giant_Panda
Georgia	Wyoming	3	82	Wombat
Hawaii	Grenada	0	7	Dolphin
Nevada	Switzerland	0	96	Lamna
Oklahoma	Dominica	9	93	Sheep
Minnesota	Minnesota	6	52	Louse
Arkansas	Dominica	4	30	Cormorant
West Virginia	Hawaii	9	69	American_Bison
California	Uruguay	6	16	Manatee
Idaho	EQUATORIAL_GUINEA	0	39	Guanaco
Idaho	Tonga	9	57	Lamniformes
Missouri	Mississippi	3	51	Quail
Massachusetts	Ethiopia	3	8	Moose
Iowa	North_Carolina	4	56	Magpie
West Virginia	Zimbabwe	3	59	Magpie
Colorado	Japan	6	66	Cobra
Michigan	EL_SALVADOR	3	10	Angel_shark
South_Dakota	Tuvalu	2	79	Partridge
Maryland	Zambia	7	29	Bison
Maine	Saudi_Arabia	1	63	Louse
Hawaii	Serbia	0	4	Gerbil
Alaska	Rhode_Island	4	58	Swan
Nebraska	Michigan	9	12	Sphyrna_lewini
New_Hampshire	Singapore	8	73	Scoliodon
Louisiana	CZECH_REPUBLIC	6	83	Nightingale
Tennessee	Guatemala	4	3	Angel_shark
Maine	Wisconsin	3	52	Coccinellidae
New_Hampshire	Sudan	2	31	Rhizoprionodon
Pennsylvania	Mozambique	5	63	Echinorhinus
Mississippi	Italy	9	21	Swallow
Montana	Thailand	2	36	Moose
Connecticut	Uruguay	3	44	Cirrhoscyllium
Tennessee	Sweden	0	12	Isogomphodon
Illinois	Colombia	9	84	Gerbil
New_Hampshire	Switzerland	1	15	Hornet
Wisconsin	DOMINICAN_REPUBLIC	3	90	Orectolobus
Arkansas	TRINIDAD_AND_TOBAGO	5	28	Cormorant
Wisconsin	Colombia	8	25	Lamna
Minnesota	Nebraska	1	15	Otter
Indiana	Luxembourg	1	35	Hawk
South_Carolina	Japan	7	75	Echinorhinus
Utah	Croatia	9	18	Pristiophorus
Kansas	Michigan	7	77	Hemitriakis
Rhode_Island	Uruguay	8	71	Echinorhinus
Connecticut	Latvia	9	36	Pelican
Tennessee	Nebraska	0	79	Mule
North_Dakota	Netherlands	1	9	Pony
Washington	Guatemala	2	53	Dolphin
Ohio	Finland	9	29	Chiloscyllium
Massachusetts	MARSHALL_ISLANDS	5	42	Hyena
Florida	California	9	34	Coccinellidae
South_Carolina	Louisiana	5	87	Hemitriakis
Kentucky	Madagascar	3	89	Swallow
Alaska	Samoa	7	93	Chiloscyllium
Maine	WESTERN_SAHARA	6	88	Donkey
Missouri	Oregon	2	55	Human
South_Carolina	Japan	5	3	Sawshark
Illinois	Oregon	5	24	Baboon
Kentucky	Mississippi	0	51	Cobra
Oklahoma	Sweden	5	88	Giraffe
Virginia	Jordan	6	64	Pinniped
Maryland	Rhode_Island	3	49	Black_panther
AAA	BBB	10	100	EEE
AAAA	BBBB	10	100	EEEE
